file,n,m,weighted,opt,algo,con,run,rec,del
girgs/girg0700_5.soap,10001,3509908,1,1000009999,spaghetti,13,93197,0,0
girgs/girg0700_6.soap,10001,3509282,1,1000009999,gabow,34,750,1,3
girgs/girg0700_6.soap,10001,3509282,1,1000009999,spaghetti,18,98763,0,0
girgs/girg0700_7.soap,10001,3508407,1,1000009999,gabow,35,923,1,2
girgs/girg0700_7.soap,10001,3508407,1,1000009999,spaghetti,20,94545,0,0
girgs/girg0700_8.soap,10001,3509156,1,1000009999,gabow,30,701,0,2
girgs/girg0700_8.soap,10001,3509156,1,1000009999,spaghetti,17,87582,0,0
girgs/girg0700_9.soap,10001,3506755,1,1000009999,gabow,29,616,0,2
girgs/girg0700_9.soap,10001,3506755,1,1000009999,spaghetti,15,89425,0,0
girgs/girg0800_0.soap,10001,4008678,1,1000009999,gabow,33,806,0,2
girgs/girg0800_0.soap,10001,4008678,1,1000009999,spaghetti,17,109505,0,0
girgs/girg0800_1.soap,10001,4007421,1,1000009999,gabow,67,849,1,2
girgs/girg0800_1.soap,10001,4007421,1,1000009999,spaghetti,18,107555,0,0
girgs/girg0800_2.soap,10001,4010719,1,1000009999,gabow,32,690,0,2
girgs/girg0800_2.soap,10001,4010719,1,1000009999,spaghetti,15,95917,0,0
girgs/girg0800_3.soap,10001,4011215,1,1000009999,gabow,33,759,0,2
girgs/girg0800_3.soap,10001,4011215,1,1000009999,spaghetti,16,111071,0,0
girgs/girg0800_4.soap,10001,4007385,1,1000010000,gabow,32,914,0,2
girgs/girg0800_4.soap,10001,4007385,1,1000010000,spaghetti,16,102534,0,0
girgs/girg0800_5.soap,10001,4006956,1,1000009999,gabow,32,723,0,2
girgs/girg0800_5.soap,10001,4006956,1,1000009999,spaghetti,15,99443,0,0
girgs/girg0800_6.soap,10001,4009843,1,1000009999,gabow,35,748,0,2
girgs/girg0800_6.soap,10001,4009843,1,1000009999,spaghetti,18,103169,0,0
girgs/girg0800_7.soap,10001,4010205,1,1000009999,gabow,35,759,0,2
girgs/girg0800_7.soap,10001,4010205,1,1000009999,spaghetti,18,100913,0,0
girgs/girg0800_8.soap,10001,4011464,1,1000010000,gabow,36,751,1,2
girgs/girg0800_8.soap,10001,4011464,1,1000010000,spaghetti,17,122238,0,0
girgs/girg0800_9.soap,10001,4004271,1,1000009999,gabow,44,983,0,3
girgs/girg0800_9.soap,10001,4004271,1,1000009999,spaghetti,18,130863,0,0
girgs/girg0900_0.soap,10001,4507552,1,1000009999,gabow,65,1040,0,2
girgs/girg0900_0.soap,10001,4507552,1,1000009999,spaghetti,28,153911,0,0
girgs/girg0900_1.soap,10001,4509243,1,1000009999,gabow,56,1321,1,4
girgs/girg0900_1.soap,10001,4509243,1,1000009999,spaghetti,30,156601,0,0
girgs/girg0900_2.soap,10001,4511709,1,1000009999,gabow,51,1147,1,2
girgs/girg0900_2.soap,10001,4511709,1,1000009999,spaghetti,28,147359,0,0
girgs/girg0900_3.soap,10001,4513921,1,1000009999,gabow,53,1137,1,2
girgs/girg0900_3.soap,10001,4513921,1,1000009999,spaghetti,29,144114,0,0
girgs/girg0900_4.soap,10001,4511533,1,1000009999,gabow,44,914,0,2
girgs/girg0900_4.soap,10001,4511533,1,1000009999,spaghetti,25,115383,0,0
girgs/girg0900_5.soap,10001,4511577,1,1000009999,gabow,41,811,0,2
girgs/girg0900_5.soap,10001,4511577,1,1000009999,spaghetti,22,113302,0,0
girgs/girg0900_6.soap,10001,4507522,1,1000009999,gabow,41,804,0,2
girgs/girg0900_6.soap,10001,4507522,1,1000009999,spaghetti,23,111888,0,0
girgs/girg0900_7.soap,10001,4513035,1,1000009999,gabow,42,825,0,2
girgs/girg0900_7.soap,10001,4513035,1,1000009999,spaghetti,23,118436,0,0
girgs/girg0900_8.soap,10001,4509733,1,1000009999,gabow,41,817,0,2
girgs/girg0900_8.soap,10001,4509733,1,1000009999,spaghetti,24,110303,0,0
girgs/girg0900_9.soap,10001,4509178,1,1000009999,gabow,40,802,0,2
girgs/girg0900_9.soap,10001,4509178,1,1000009999,spaghetti,23,111808,0,0
girgs/girg1000_0.soap,10001,5007807,1,1000009999,gabow,44,918,1,2
girgs/girg1000_0.soap,10001,5007807,1,1000009999,spaghetti,23,130400,0,0
girgs/girg1000_1.soap,10001,5010398,1,1000009999,gabow,45,928,0,2
girgs/girg1000_1.soap,10001,5010398,1,1000009999,spaghetti,22,130511,0,0
girgs/girg1000_2.soap,10001,5009039,1,1000009999,gabow,43,912,0,2
girgs/girg1000_2.soap,10001,5009039,1,1000009999,spaghetti,22,127439,0,0
girgs/girg1000_3.soap,10001,5008738,1,1000009999,gabow,43,926,0,2
girgs/girg1000_3.soap,10001,5008738,1,1000009999,spaghetti,22,129812,0,0
girgs/girg1000_4.soap,10001,5012671,1,1000009999,gabow,44,893,0,2
girgs/girg1000_4.soap,10001,5012671,1,1000009999,spaghetti,23,129059,0,0
girgs/girg1000_5.soap,10001,5013329,1,1000009999,gabow,44,933,0,2
girgs/girg1000_5.soap,10001,5013329,1,1000009999,spaghetti,24,130893,0,0
girgs/girg1000_6.soap,10001,5009000,1,1000009999,gabow,42,905,0,2
girgs/girg1000_6.soap,10001,5009000,1,1000009999,spaghetti,23,130912,0,0
girgs/girg1000_7.soap,10001,5008465,1,1000009999,gabow,43,911,0,2
girgs/girg1000_7.soap,10001,5008465,1,1000009999,spaghetti,22,129258,0,0
girgs/girg1000_8.soap,10001,5008603,1,1000009999,gabow,44,959,0,2
girgs/girg1000_8.soap,10001,5008603,1,1000009999,spaghetti,22,126408,0,0
girgs/girg1000_9.soap,10001,5010564,1,1000009999,gabow,43,929,0,2
girgs/girg1000_9.soap,10001,5010564,1,1000009999,spaghetti,23,129272,0,0
girgs/girg1100_0.soap,10001,5512084,1,1000009999,gabow,53,1035,0,2
girgs/girg1100_0.soap,10001,5512084,1,1000009999,spaghetti,24,141144,0,0
girgs/girg1100_1.soap,10001,5509207,1,1000009999,gabow,45,1030,0,2
girgs/girg1100_1.soap,10001,5509207,1,1000009999,spaghetti,24,174665,0,0
girgs/girg1100_2.soap,10001,5508627,1,1000009999,gabow,46,1055,0,2
girgs/girg1100_2.soap,10001,5508627,1,1000009999,spaghetti,23,149096,0,0
girgs/girg1100_3.soap,10001,5508582,1,1000009999,gabow,46,1026,0,2
girgs/girg1100_3.soap,10001,5508582,1,1000009999,spaghetti,25,137289,0,0
girgs/girg1100_4.soap,10001,5512980,1,1000009999,gabow,45,1009,0,2
girgs/girg1100_4.soap,10001,5512980,1,1000009999,spaghetti,24,150791,0,0
girgs/girg1100_5.soap,10001,5509538,1,1000009999,gabow,54,994,0,2
girgs/girg1100_5.soap,10001,5509538,1,1000009999,spaghetti,31,150204,0,0
girgs/girg1100_6.soap,10001,5515033,1,1000009999,gabow,54,1011,0,2
girgs/girg1100_6.soap,10001,5515033,1,1000009999,spaghetti,32,149022,0,0
girgs/girg1100_7.soap,10001,5510087,1,1000009999,gabow,46,1021,0,2
girgs/girg1100_7.soap,10001,5510087,1,1000009999,spaghetti,36,154743,0,0
girgs/girg1100_8.soap,10001,5512817,1,1000009999,gabow,45,1000,0,2
girgs/girg1100_8.soap,10001,5512817,1,1000009999,spaghetti,23,150034,0,0
girgs/girg1100_9.soap,10001,5510238,1,1000009999,gabow,46,1046,0,2
girgs/girg1100_9.soap,10001,5510238,1,1000009999,spaghetti,23,150510,0,0
girgs/girg1200_0.soap,10001,6011617,1,1000009999,gabow,57,1150,0,2
girgs/girg1200_0.soap,10001,6011617,1,1000009999,spaghetti,32,168415,0,0
girgs/girg1200_1.soap,10001,6008398,1,1000009999,gabow,55,1144,0,2
girgs/girg1200_1.soap,10001,6008398,1,1000009999,spaghetti,32,148543,0,0
girgs/girg1200_2.soap,10001,6010444,1,1000009999,gabow,57,1142,0,2
girgs/girg1200_2.soap,10001,6010444,1,1000009999,spaghetti,32,155399,0,0
girgs/girg1200_3.soap,10001,6013771,1,1000009999,gabow,59,1158,0,2
girgs/girg1200_3.soap,10001,6013771,1,1000009999,spaghetti,25,166657,0,0
girgs/girg1200_4.soap,10001,6009182,1,1000009999,gabow,55,1146,0,2
girgs/girg1200_4.soap,10001,6009182,1,1000009999,spaghetti,31,158926,0,0
girgs/girg1200_5.soap,10001,6008317,1,1000009999,gabow,58,1157,0,2
girgs/girg1200_5.soap,10001,6008317,1,1000009999,spaghetti,33,166579,0,0
girgs/girg1200_6.soap,10001,6013024,1,1000009999,gabow,55,1151,0,2
girgs/girg1200_6.soap,10001,6013024,1,1000009999,spaghetti,32,165760,0,0
girgs/girg1200_7.soap,10001,6009940,1,1000009999,gabow,55,1103,0,2
girgs/girg1200_7.soap,10001,6009940,1,1000009999,spaghetti,34,170750,0,0
girgs/girg1200_8.soap,10001,6007568,1,1000009999,gabow,56,1130,0,2
girgs/girg1200_8.soap,10001,6007568,1,1000009999,spaghetti,31,167002,0,0
girgs/girg1200_9.soap,10001,6008557,1,1000009999,gabow,57,1164,0,2
girgs/girg1200_9.soap,10001,6008557,1,1000009999,spaghetti,24,166673,0,0
girgs/girg1300_0.soap,10001,6508585,1,1000009999,gabow,61,1288,0,2
girgs/girg1300_0.soap,10001,6508585,1,1000009999,spaghetti,27,174069,0,0
girgs/girg1300_1.soap,10001,6508884,1,1000009999,gabow,60,1299,1,2
girgs/girg1300_1.soap,10001,6508884,1,1000009999,spaghetti,37,186279,0,0
girgs/girg1300_2.soap,10001,6511413,1,1000009999,gabow,61,1283,0,2
girgs/girg1300_2.soap,10001,6511413,1,1000009999,spaghetti,33,182372,0,0
girgs/girg1300_3.soap,10001,6511080,1,1000009999,gabow,61,1268,0,2
girgs/girg1300_3.soap,10001,6511080,1,1000009999,spaghetti,34,177194,0,0
girgs/girg1300_4.soap,10001,6510240,1,1000009999,gabow,62,1253,0,2
girgs/girg1300_4.soap,10001,6510240,1,1000009999,spaghetti,27,178764,0,0
girgs/girg1300_5.soap,10001,6509779,1,1000009999,gabow,60,1276,0,2
girgs/girg1300_5.soap,10001,6509779,1,1000009999,spaghetti,35,176992,0,0
girgs/girg1300_6.soap,10001,6506922,1,1000009999,gabow,59,1265,0,2
girgs/girg1300_6.soap,10001,6506922,1,1000009999,spaghetti,35,176185,0,0
girgs/girg1300_7.soap,10001,6510565,1,1000009999,gabow,59,1304,0,2
girgs/girg1300_7.soap,10001,6510565,1,1000009999,spaghetti,36,191282,0,0
girgs/girg1300_8.soap,10001,6511245,1,1000009999,gabow,57,1283,0,2
girgs/girg1300_8.soap,10001,6511245,1,1000009999,spaghetti,34,186423,0,0
girgs/girg1300_9.soap,10001,6510370,1,1000009999,gabow,59,1265,0,2
girgs/girg1300_9.soap,10001,6510370,1,1000009999,spaghetti,33,185598,0,0
girgs/girg1400_0.soap,10001,7008253,1,1000009999,gabow,63,1381,0,2
girgs/girg1400_0.soap,10001,7008253,1,1000009999,spaghetti,37,190585,0,0
girgs/girg1400_1.soap,10001,7006331,1,1000009999,gabow,63,1393,0,2
girgs/girg1400_1.soap,10001,7006331,1,1000009999,spaghetti,36,200392,0,0
girgs/girg1400_2.soap,10001,7009213,1,1000009999,gabow,61,1396,0,2
girgs/girg1400_2.soap,10001,7009213,1,1000009999,spaghetti,39,206415,0,0
girgs/girg1400_3.soap,10001,7009910,1,1000009999,gabow,63,1431,0,2
girgs/girg1400_3.soap,10001,7009910,1,1000009999,spaghetti,37,200112,0,0
girgs/girg1400_4.soap,10001,7008626,1,1000009999,gabow,63,1398,0,2
girgs/girg1400_4.soap,10001,7008626,1,1000009999,spaghetti,35,182028,0,0
girgs/girg1400_5.soap,10001,7009151,1,1000009999,gabow,63,1374,0,2
girgs/girg1400_5.soap,10001,7009151,1,1000009999,spaghetti,37,204430,0,0
girgs/girg1400_6.soap,10001,7009259,1,1000009999,gabow,61,1407,0,2
girgs/girg1400_6.soap,10001,7009259,1,1000009999,spaghetti,36,198231,0,0
girgs/girg1400_7.soap,10001,7013177,1,1000009999,gabow,63,1406,0,2
girgs/girg1400_7.soap,10001,7013177,1,1000009999,spaghetti,35,200436,0,0
girgs/girg1400_8.soap,10001,7005924,1,1000009999,gabow,60,1386,0,2
girgs/girg1400_8.soap,10001,7005924,1,1000009999,spaghetti,34,193117,0,0
girgs/girg1400_9.soap,10001,7011100,1,1000009999,gabow,62,1533,0,2
girgs/girg1400_9.soap,10001,7011100,1,1000009999,spaghetti,36,202838,0,0
girgs/girg1500_0.soap,10001,7508430,1,1000009999,gabow,68,1542,0,2
girgs/girg1500_0.soap,10001,7508430,1,1000009999,spaghetti,39,208629,0,0
girgs/girg1500_1.soap,10001,7510572,1,1000009999,gabow,67,1505,0,2
girgs/girg1500_1.soap,10001,7510572,1,1000009999,spaghetti,31,218727,0,0
girgs/girg1500_2.soap,10001,7509605,1,1000009999,gabow,67,1532,0,2
girgs/girg1500_2.soap,10001,7509605,1,1000009999,spaghetti,36,201287,0,0
girgs/girg1500_3.soap,10001,7508346,1,1000009999,gabow,68,1518,0,2
girgs/girg1500_3.soap,10001,7508346,1,1000009999,spaghetti,37,215859,0,0
girgs/girg1500_4.soap,10001,7514080,1,1000009999,gabow,64,1508,0,2
girgs/girg1500_4.soap,10001,7514080,1,1000009999,spaghetti,36,212703,0,0
girgs/girg1500_5.soap,10001,7510759,1,1000009999,gabow,63,1531,0,2
girgs/girg1500_5.soap,10001,7510759,1,1000009999,spaghetti,35,211980,0,0
girgs/girg1500_6.soap,10001,7509810,1,1000009999,gabow,64,1485,0,2
girgs/girg1500_6.soap,10001,7509810,1,1000009999,spaghetti,39,201558,0,0
girgs/girg1500_7.soap,10001,7508699,1,1000009999,gabow,64,1535,0,2
girgs/girg1500_7.soap,10001,7508699,1,1000009999,spaghetti,34,213250,0,0
girgs/girg1500_8.soap,10001,7510066,1,1000009999,gabow,67,1536,0,2
girgs/girg1500_8.soap,10001,7510066,1,1000009999,spaghetti,32,205762,0,0
girgs/girg1500_9.soap,10001,7509389,1,1000009999,gabow,66,1513,0,2
girgs/girg1500_9.soap,10001,7509389,1,1000009999,spaghetti,33,198987,0,0
girgs/girg1600_0.soap,10001,8006531,1,1000009999,gabow,68,1669,0,2
girgs/girg1600_0.soap,10001,8006531,1,1000009999,spaghetti,38,225806,0,0
girgs/girg1600_1.soap,10001,8009995,1,1000009999,gabow,68,1645,0,2
girgs/girg1600_1.soap,10001,8009995,1,1000009999,spaghetti,36,211925,0,0
girgs/girg1600_2.soap,10001,8010230,1,1000009999,gabow,68,1655,0,2
girgs/girg1600_2.soap,10001,8010230,1,1000009999,spaghetti,37,195769,0,0
girgs/girg1600_3.soap,10001,8009453,1,1000009999,gabow,68,1650,1,2
girgs/girg1600_3.soap,10001,8009453,1,1000009999,spaghetti,39,208200,0,0
girgs/girg1600_4.soap,10001,8010362,1,1000009999,gabow,69,1622,0,2
girgs/girg1600_4.soap,10001,8010362,1,1000009999,spaghetti,40,237272,0,0
girgs/girg1600_5.soap,10001,8007462,1,1000009999,gabow,69,1683,0,2
girgs/girg1600_5.soap,10001,8007462,1,1000009999,spaghetti,38,194150,0,0
girgs/girg1600_6.soap,10001,8011541,1,1000009999,gabow,66,1664,0,2
girgs/girg1600_6.soap,10001,8011541,1,1000009999,spaghetti,36,219884,0,0
girgs/girg1600_7.soap,10001,8009670,1,1000009999,gabow,69,1647,0,2
girgs/girg1600_7.soap,10001,8009670,1,1000009999,spaghetti,39,231600,0,0
girgs/girg1600_8.soap,10001,8009181,1,1000009999,gabow,67,1615,0,2
girgs/girg1600_8.soap,10001,8009181,1,1000009999,spaghetti,40,224360,0,0
girgs/girg1600_9.soap,10001,8006537,1,1000009999,gabow,67,1530,0,2
girgs/girg1600_9.soap,10001,8006537,1,1000009999,spaghetti,37,185080,0,0
girgs/girg1700_0.soap,10001,8509485,1,1000009999,gabow,79,1633,0,2
